file,part,#,endnote
Ivanka Trump 278-T Monmouth,Transactions,1,This asset was held by filer's spouse.
Ivanka Trump 278-T Monmouth,Transactions,2,"The transaction reported here was made by an entity in which the filer's spouse has an indirect, passive interest; the reported amount is based upon the filer's spouse's interest in the entity making the purchase."
Ivanka Trump 278-T Monmouth,Transactions,3,This asset was held by a trust established for the benefit of filer's spouse.
Ivanka Trump 278-T Monmouth,Transactions,4,This asset was held by a trust established for the benefit of filer's spouse.
Ivanka Trump 278-T Monmouth,Transactions,5,This asset was held by a trust established for the benefit of filer's spouse.
Ivanka Trump 278-T Toledo,Transactions,1,"The transaction reported here was made by an entity in which the filer's spouse has an indirect, passive interest; the reported amount is based upon the filer's spouse's interest in the entity making the sale."
Ivanka Trump NE278e,1.,61,"Filer has retained an equity interest in this entity, which did not meet the value/income reporting threshold for inclusion in Part 6.  The structure of this entity is as follows:  61  IVANKA OPO HOTEL MANAGER LLC 61.1 OPO HOTEL MANAGER LLC 61.1.1  THC DC RESTAURANT HOSPITALITY LLC"
Ivanka Trump NE278e,1.,68,"Filer has retained an equity interest in this entity, which did not meet the value/income thresholds for inclusion in Part 6.  See item 61 for entity structure."
Ivanka Trump NE278e,1.,286,"Filer sold all of her interest in this entity in January 2017 and intended to surrender any positions she held in it at that time.  Out of an abundance of caution, she executed documents resigning such positions in June 2017."
Ivanka Trump NE278e,2.,1,"January 2016 - March 8, 2017 income for assets currently held in the Ivanka M. Trump Business Trust, as reflected in Line 2."
Ivanka Trump NE278e,2.,2,"Trust was formed on March 9, 2017.  Income for underlying entities for January 2016 to March 8, 2017 is reported on Line 1 with IT Operations LLC."
Ivanka Trump NE278e,2.,2.1,"This entity holds the following intellectual property:  (1) name- and initial-related trademarks registered in the United States, Canada, Mexico, UAE, EU, New Zealand, Saudi Arabia, Australia, Azerbaijan, Bahrain, Brazil, China, Indonesia, Israel, India, Japan, Kuwait, Panama, Philippines, Puerto Rico, Qatar, Turkey, Russia, Nigeria, Hong Kong, Korea, Taiwan; (2) ""Women Who Work""-related trademarks registered in the United States; (3) copyrights related to Ivanka Trump branded jewelry registered in the United States; and (4) name- and initial-related copyrights registered in China and Scotland."
Ivanka Trump NE278e,2.,2.6,This asset has been merged into IT Operations Managing Member Corp.
