file,#,description,eif,value,income-type,income-amount
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,1,"IT OPERATIONS LLC (all assets reflected in the Ivanka M. Trump Business Trust) (income for period January 1, 2016 - March 8, 2017)",N/A,,Rent or Royalties,"Over $5,000,000"
Ivanka Trump NE278e,2,"Ivanka M. Trump Business Trust (IT Collection LLC, Holding Company in New York NY)) (income for period March 9, 2017 - May 31, 2017)",N/A,"Over $50,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,2.1,"Ivanka Trump Marks LLC (Owner of Various Trademarks; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.2,"Ivanka Trump Marks Jewelry LLC (Licensing contracts for fine jewelry; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.3,"IT Operations LLC (Management Company in New York, NY)",N/A,,,
Ivanka Trump NE278e,2.4,"IT Operations Managing Member Corp (Pass-Thru Company for IT Operations LLC; New York, NY)",N/A,,,
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,2.5,IT Apparel II LLC (Licensing contracts for clothing and cold weather accessories; New York NY),N/A,,,
Ivanka Trump NE278e,2.6,"IT Apparel II Managing Member Corp (Pass- Thru Company for IT Apparel II LLC; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.7,"IT Baby Home LLC (Licensing contracts for baby products - bedding giftables; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.8,"IT Baby Home Member Corp (Pass-Thru Company for IT Baby Home LLC; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.9,"IT Eyewear LLC (Licensing contracts for sunglasses; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.10,"IT Eyewear Manager Corp (Pass-Thru Company for IT Eyewear LLC; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.11,"IT Fashion Jewelry LLC (Licensing contracts for costume jewelry; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.12,"IT Fashion Jewelry Member Corp (Pass-Thru Company for IT Fashion Jewelry LLC; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.13,"IT Fragrance LLC (Licensing contracts for perfume; New York, NY)",N/A,,,
Ivanka Trump NE278e,2.14,"IT Fragrance Manager Corp (Pass-Thru Company for IT Fragrance LLC; New York, NY)",N/A,,,
