file,#,organization-name,city-state,organization-type,position-held,from,to
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,1,40 WALL STREET COMMERCIAL LLC (payroll company),"New York, New York",Limited Liability Company,Vice President,8/2009,1/2017
Ivanka Trump NE278e,2,"401 MEZZ VENTURE LLC (residential & commercial real estate in Chicago, IL)","New York, New York",Limited Liability Company,Vice President,1/2012,1/2017
Ivanka Trump NE278e,3,"401 NORTH WABASH VENTURE LLC (residential & commercial real estate in Chicago, IL)","New York, New York",Limited Liability Company,Vice President,1/2007,1/2017
Ivanka Trump NE278e,4,"809 NORTH CANON LLC (residential real estate in Los Angeles, CA)","New York, New York",Limited Liability Company,Vice President,12/2006,1/2017
Ivanka Trump NE278e,5,"809 NORTH CANON MEMBER CORPORATION (pass-thru company for 809 North Canon LLC (residential real estate in Los Angeles, CA))","New York, New York",Corporation,Vice President,12/2006,1/2017
Ivanka Trump NE278e,6,C DEVELOPMENT VENTURES LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,4/2016,1/2017
Ivanka Trump NE278e,7,C DEVELOPMENT VENTURES MEMBER CORP (pass-thru company for C DEVELOPMENT VENTURES LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,4/2016,1/2017
Ivanka Trump NE278e,8,"D B PACE ACQUISITION MEMBER CORP (land, building and ff&e)","New York, New York",Corporation,Executive Vice President,11/2014,1/2017
Ivanka Trump NE278e,9,DJT AEROSPACE LLC (aircraft),"Atlantic City, New Jersey",Limited Liability Company,Executive Vice President,6/2010,1/2017
Ivanka Trump NE278e,10,DJT HOLDINGS LLC (holding company),"New York, New York",Limited Liability Company,Executive Vice President,12/2010,1/2017
Ivanka Trump NE278e,11,DJT HOLDINGS MANAGING MEMBER LLC (pass-thru company for DJT HOLDINGS LLC (holding company)),"New York, New York",Limited Liability Company,Executive Vice President,12/2010,1/2017
Ivanka Trump NE278e,12,DONKA SOHO MEMBER LLC (dormant/inactive),"New York, New York",Limited Liability Company,Member & Vice President,4/2006,1/2017
Ivanka Trump NE278e,13,DT APP WARRANT HOLDING LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,3/2012,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,14,DT BALI GOLF MANAGER LLC,"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,15,DT BALI GOLF MANAGER MEMBER CORP (pass-thru company for DT BALI GOLF MANAGER LLC),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,16,DT BALI HOTEL MANAGER LLC,"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,17,DT BALI HOTEL MANAGER MEMBER CORP (pass-thru company for DT BALI HOTEL MANAGER LLC),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,18,DT BALI TECHNICAL SERVICES MANAGER LLC,"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,19,DT BALI TECHNICAL SERVICES MANAGER MEMBER CORP (pass-thru company for DT BALI TECHNICAL SERVICES MANAGER LLC),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,20,DT DUBAI GOLF MANAGER LLC (management company),"New York, New York",Limited Liability Company,Executive Vice President,3/2013,1/2017
Ivanka Trump NE278e,21,DT DUBAI GOLF MANAGER MEMBER CORP (pass-thru company for DT DUBAI GOLF MANAGER LLC (management company)),"New York, New York",Corporation,Executive Vice President,3/2013,1/2017
Ivanka Trump NE278e,22,DT DUBAI II GOLF MANAGER LLC,"New York, New York",Limited Liability Company,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,23,DT DUBAI II GOLF MANAGER MEMBER CORP (pass-thru company for DT DUBAI II GOLF MANAGER LLC),"New York, New York",Corporation,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,24,DT INDIA VENTURE LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,1/2012,1/2017
Ivanka Trump NE278e,25,DT LIDO GOLF MANAGER LLC,"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,26,DT LIDO GOLF MANAGER MEMBER CORP (pass-thru company for DT LIDO GOLF MANAGER LLC),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,27,DT LIDO HOTEL MANAGER LLC,"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,28,DT LIDO HOTEL MANAGER MEMBER CORP (pass-thru company for DT LIDO HOTEL MANAGER LLC (license deal)),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,29,DT LIDO TECHNICAL SERVICES MANAGER LLC,"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,30,DT LIDO TECHNICAL SERVICES MANAGER MEMBER CORP (pass-thru company for DT LIDO TECHNICAL SERVICES MANAGER LLC),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,31,DT MARKS BAKU LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,4/2012,1/2017
Ivanka Trump NE278e,32,DT MARKS BAKU MANAGING MEMBER CORP (pass-thru company for DT MARKS BAKU LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,4/2012,1/2017
Ivanka Trump NE278e,33,DT MARKS BALI LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,34,DT MARKS BALI MEMBER CORP (pass-thru company for DT MARKS BALI LLC (license deal)),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,35,DT MARKS DUBAI LLC (license deal),"New York, New York",Limited Liability Company,Vice President,9/2013,1/2017
Ivanka Trump NE278e,36,DT MARKS DUBAI MEMBER CORP (pass-thru company for DT MARKS DUBAI LLC (license deal)),"New York, New York",Corporation,Vice President,9/2013,1/2017
Ivanka Trump NE278e,37,DT MARKS GURGAON LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,38,DT MARKS GURGAON MANAGING MEMBER CORP (pass-thru company for DT MARKS GURGAON LLC (license deal)),"New York, New York",Corporation,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,39,DT MARKS JERSEY CITY LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,40,DT MARKS LIDO LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,41,DT MARKS LIDO MEMBER CORP (pass-thru company for DT MARKS LIDO LLC (license deal)),"New York, New York",Corporation,Executive Vice President,6/2015,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
