file,#,description,eif,value,income-type,income-amount
Ivanka Trump NE278e,,,,,,AMOUNT
Ivanka Trump NE278e,1,Trust #1,No,,,
Ivanka Trump NE278e,1.1,"ELMWOOD V. ASSOCIATES, LP (Commercial Real Estate in Chicago, IL)",N/A,"$100,001 - $250,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,1.2,"LANDINGS APARTMENTS, LLC (Commercial Real Estate in Chicago, IL)",N/A,"$50,001 - $100,000",Rent or Royalties,"$50,001 - $100,000"
Ivanka Trump NE278e,1.3,"OAKWOOD GARDEN ASSOCIATES, LLC (Commercial Real Estate in Chicago, IL)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,1.4,"WALLKILL APARTMENTS ASSOCIATES, LP (Commercial Real Estate in Chicago, IL)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,1.5,"VILLAGE KF 4-9-10 ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$100,001 - $1,000,000"
Ivanka Trump NE278e,1.6,"PUCK BUILDING, LP (Commercial Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
Ivanka Trump NE278e,1.7,U.S. bank account #1 (checking),N/A,"$250,001 - $500,000",,None (or less than $201)
Ivanka Trump NE278e,1.8,"BRUCKNER PLAZA CENTER, LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Rent or Royalties,"Over $5,000,000"
Ivanka Trump NE278e,1.9,Development Corporation for Israel/Israel Bonds,N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Ivanka Trump NE278e,2,Trust #2,No,,,
Ivanka Trump NE278e,2.1,"ELMWOOD V. ASSOCIATES, LP (Commercial Real Estate in Chicago, IL)",N/A,"$15,001 - $50,000",Rent or Royalties,"$15,001 - $50,000"
